food_name,category,calories,protein,carbs,fat,iron,vitamin_c,protein_per_100_cal
Banana pudding,Pudding,160.0,2.57,28.0,4.26,0.42,3.2,1.60625
Banana split,Ice cream and frozen dairy desserts,199.0,2.42,32.59,6.88,0.17,4.5,1.2160804020100502
"Bananas, raw",Fruits and Fruit Juices,371.0,1.09,22.8,0.33,0.26,8.7,0.29380053908355797
"Cake or cupcake, banana",Cakes and pies,379.0,2.47,53.07,17.51,0.88,1.0,0.6517150395778364
"Melon, banana (Navajo)",American Indian/Alaska Native Foods,90.0,0.84,4.06,0.2,0.21,8.1,0.9333333333333332
"Pepper, banana, raw",Vegetables and Vegetable Products,27.0,1.66,5.35,0.45,0.46,82.7,6.148148148148148
"Peppers, banana, raw",Other vegetables and combinations,27.0,1.66,5.35,0.45,0.46,82.7,6.148148148148148
"Pie, banana cream",Cakes and pies,284.0,2.42,32.35,16.17,0.6,0.8,0.852112676056338
"Snacks, banana chips",Snacks,519.0,2.3,58.4,33.6,1.25,6.3,0.443159922928709
"Orange, raw",Citrus fruits,50.0,0.92,11.78,0.14,0.22,56.2,1.8399999999999999
"Marmalade, orange",Sweets,246.0,0.3,66.3,0.0,0.15,4.8,0.12195121951219512
Orange Blossom,Liquor and cocktails,98.0,0.57,9.32,0.26,0.06,21.2,0.5816326530612245
Orange chicken,Stir-fry and soy-based sauce mixtures,262.0,14.46,22.46,12.68,0.94,0.9,5.519083969465649
"Sherbet, orange",Sweets,144.0,1.1,30.4,2.0,0.14,2.3,0.763888888888889
"Orange, canned, NFS",Citrus fruits,46.0,0.6,11.82,0.04,0.26,33.3,1.3043478260869565
"Beverages, carbonated, orange",Beverages,201.0,0.0,12.3,0.0,0.06,0.0,0.0
"Orange peel, raw",Fruits and Fruit Juices,405.0,1.5,25.0,0.2,0.8,136.0,0.3703703703703704
"Orange, canned, in syrup",Citrus fruits,55.0,0.59,14.07,0.04,0.26,32.5,1.0727272727272725
